client,account,platform,post_id,url,posted_at,caption,media_type,language,views,likes,comments,shares
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_26,https://example.com/mumbai_falcons_instagram_26,2025-12-10 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,post,Hindi,133559,2912,212,270
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_27,https://example.com/mumbai_falcons_youtube_27,2025-12-10 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,260358,10151,326,1120
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_28,https://example.com/mumbai_falcons_youtube_28,2025-12-10 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,173596,4863,504,248
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_29,https://example.com/delhi_strikers_instagram_29,2025-12-10 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,post,Hindi,124522,4575,188,203
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_30,https://example.com/delhi_strikers_instagram_30,2025-12-10 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,post,English,156637,5223,436,528
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_31,https://example.com/delhi_strikers_youtube_31,2025-12-10 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,short,Hindi,133882,4123,508,424
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_32,https://example.com/delhi_strikers_instagram_32,2025-12-11 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,post,Hindi,387461,9601,1020,2003
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_35,https://example.com/delhi_strikers_instagram_35,2025-12-13 21:00:00,Matchday moments presented by Dream11. #Cricket #Dream11,post,English,358253,11343,1201,548
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_36,https://example.com/delhi_strikers_instagram_36,2025-12-13 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,reel,Hindi,675552,25784,1704,2572
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_34,https://example.com/mumbai_falcons_youtube_34,2025-12-13 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,short,English,158539,3197,383,733
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_33,https://example.com/mumbai_falcons_instagram_33,2025-12-13 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,post,English,343008,6490,499,1218
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_37,https://example.com/mumbai_falcons_instagram_37,2025-12-15 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,reel,English,317159,9592,1085,1122
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_38,https://example.com/delhi_strikers_instagram_38,2025-12-15 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,post,English,186214,7485,262,299
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_39,https://example.com/delhi_strikers_instagram_39,2025-12-15 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,post,Hindi,206164,5741,337,518
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_40,https://example.com/mumbai_falcons_instagram_40,2025-12-16 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,reel,Hindi,911760,19682,3517,2727
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_41,https://example.com/mumbai_falcons_instagram_41,2025-12-16 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,reel,English,197289,3914,452,705
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_42,https://example.com/mumbai_falcons_youtube_42,2025-12-16 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,128336,4705,135,483
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_43,https://example.com/delhi_strikers_instagram_43,2025-12-16 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,post,Hindi,234903,7133,280,1391
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_45,https://example.com/delhi_strikers_instagram_45,2025-12-17 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,post,Hindi,349894,11237,1085,506
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_46,https://example.com/delhi_strikers_instagram_46,2025-12-17 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,reel,Hindi,589825,25451,1712,2953
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_44,https://example.com/mumbai_falcons_youtube_44,2025-12-17 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,short,English,175185,4049,243,545
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_49,https://example.com/delhi_strikers_youtube_49,2025-12-18 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,342190,12033,619,1717
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_47,https://example.com/mumbai_falcons_youtube_47,2025-12-18 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,video,Hindi,369964,10186,1385,1520
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_48,https://example.com/delhi_strikers_youtube_48,2025-12-18 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,short,English,217308,3588,348,556
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_50,https://example.com/delhi_strikers_youtube_50,2025-12-20 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,208806,8986,275,1063
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_51,https://example.com/delhi_strikers_youtube_51,2025-12-20 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,video,Hindi,286090,12619,550,593
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_52,https://example.com/mumbai_falcons_instagram_52,2025-12-21 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,786651,31552,820,3246
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_53,https://example.com/mumbai_falcons_youtube_53,2025-12-21 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,279691,11499,842,673
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_54,https://example.com/delhi_strikers_youtube_54,2025-12-21 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,162592,3751,164,458
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_55,https://example.com/delhi_strikers_youtube_55,2025-12-21 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,video,Hindi,242292,5217,375,648
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_56,https://example.com/mumbai_falcons_instagram_56,2025-12-22 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,reel,Hindi,247785,5680,314,742
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_57,https://example.com/delhi_strikers_instagram_57,2025-12-22 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,post,Hindi,202059,3542,782,1064
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_61,https://example.com/delhi_strikers_instagram_61,2025-12-24 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,reel,English,358629,12702,885,364
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_60,https://example.com/delhi_strikers_instagram_60,2025-12-24 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,reel,Hindi,407788,13911,1581,1175
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_59,https://example.com/mumbai_falcons_youtube_59,2025-12-24 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,short,English,344435,11040,1184,372
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_58,https://example.com/mumbai_falcons_instagram_58,2025-12-24 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,reel,Hindi,467673,18587,1470,1667
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_62,https://example.com/mumbai_falcons_instagram_62,2025-12-25 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,reel,English,328438,7411,401,764
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_63,https://example.com/mumbai_falcons_instagram_63,2025-12-25 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,reel,English,321350,9582,690,1090
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_64,https://example.com/mumbai_falcons_youtube_64,2025-12-25 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,short,English,183961,3186,265,417
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_65,https://example.com/mumbai_falcons_youtube_65,2025-12-25 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,111803,3306,437,167
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_66,https://example.com/delhi_strikers_youtube_66,2025-12-25 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,video,English,229707,6647,551,365
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_67,https://example.com/delhi_strikers_youtube_67,2025-12-25 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,125012,5386,131,411
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_72,https://example.com/delhi_strikers_youtube_72,2025-12-27 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,video,Hindi,182624,6645,676,447
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_71,https://example.com/delhi_strikers_youtube_71,2025-12-27 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,video,Hindi,245715,4577,489,644
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_70,https://example.com/delhi_strikers_instagram_70,2025-12-27 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,post,Hindi,81882,3561,249,247
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_69,https://example.com/mumbai_falcons_youtube_69,2025-12-27 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,short,English,346728,8108,463,979
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_68,https://example.com/mumbai_falcons_instagram_68,2025-12-27 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,reel,English,190472,3283,242,902
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_73,https://example.com/mumbai_falcons_youtube_73,2025-12-29 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,304422,11467,1084,731
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_74,https://example.com/delhi_strikers_youtube_74,2025-12-29 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,219318,6160,426,1067
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_75,https://example.com/delhi_strikers_youtube_75,2025-12-29 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,short,English,289737,12285,1107,1085
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_76,https://example.com/mumbai_falcons_youtube_76,2025-12-30 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,video,English,152651,5241,283,190
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_77,https://example.com/mumbai_falcons_youtube_77,2025-12-30 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,297509,7529,563,1396
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_78,https://example.com/delhi_strikers_instagram_78,2025-12-30 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,post,English,237724,7011,714,380
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_79,https://example.com/delhi_strikers_instagram_79,2025-12-30 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,2384270,51502,8866,14263
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_80,https://example.com/delhi_strikers_youtube_80,2025-12-30 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,207971,3685,421,302
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_86,https://example.com/delhi_strikers_youtube_86,2025-12-31 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,video,Hindi,100733,1515,138,387
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_85,https://example.com/delhi_strikers_youtube_85,2025-12-31 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,video,Hindi,137171,2978,199,803
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_84,https://example.com/delhi_strikers_instagram_84,2025-12-31 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,reel,Hindi,2296896,68205,2800,12980
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_81,https://example.com/mumbai_falcons_instagram_81,2025-12-31 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,reel,English,296416,7850,959,607
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_82,https://example.com/mumbai_falcons_youtube_82,2025-12-31 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,381088,16779,524,1340
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_83,https://example.com/delhi_strikers_instagram_83,2025-12-31 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,1261566,34053,2949,7278
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_90,https://example.com/delhi_strikers_youtube_90,2026-01-01 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,short,Hindi,295907,10693,568,328
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_87,https://example.com/mumbai_falcons_instagram_87,2026-01-01 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,reel,English,356956,12168,1105,557
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_88,https://example.com/mumbai_falcons_instagram_88,2026-01-01 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,post,Hindi,385602,8001,687,1909
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_89,https://example.com/delhi_strikers_youtube_89,2026-01-01 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,video,Hindi,245862,8442,897,830
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_92,https://example.com/mumbai_falcons_instagram_92,2026-01-03 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,post,English,183850,2794,344,960
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_93,https://example.com/delhi_strikers_youtube_93,2026-01-03 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,video,English,181676,3983,302,872
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_91,https://example.com/mumbai_falcons_instagram_91,2026-01-03 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,reel,Hindi,1512335,32974,1667,4068
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_95,https://example.com/mumbai_falcons_youtube_95,2026-01-05 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,video,Hindi,92388,4085,131,116
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_94,https://example.com/mumbai_falcons_youtube_94,2026-01-05 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,short,English,334307,9197,1001,1920
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_96,https://example.com/mumbai_falcons_instagram_96,2026-01-07 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,reel,English,166839,4150,259,947
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_97,https://example.com/mumbai_falcons_youtube_97,2026-01-07 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,short,Hindi,278505,11188,1101,894
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_98,https://example.com/mumbai_falcons_youtube_98,2026-01-07 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,short,Hindi,122343,3125,473,198
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_99,https://example.com/delhi_strikers_youtube_99,2026-01-07 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,video,English,306727,5408,955,606
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_100,https://example.com/mumbai_falcons_youtube_100,2026-01-09 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,video,Hindi,295378,6628,849,893
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_101,https://example.com/delhi_strikers_instagram_101,2026-01-09 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,post,Hindi,112507,2555,364,617
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_102,https://example.com/delhi_strikers_youtube_102,2026-01-09 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,video,Hindi,102851,2351,323,265
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_108,https://example.com/delhi_strikers_youtube_108,2026-01-11 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,short,Hindi,341344,15242,1336,636
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_107,https://example.com/delhi_strikers_youtube_107,2026-01-11 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,video,Hindi,303637,12602,1203,705
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_106,https://example.com/delhi_strikers_instagram_106,2026-01-11 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,reel,Hindi,1141420,25589,1363,1334
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_104,https://example.com/mumbai_falcons_youtube_104,2026-01-11 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,video,English,149576,6408,231,749
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_103,https://example.com/mumbai_falcons_instagram_103,2026-01-11 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,reel,Hindi,607839,17782,2352,3506
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_105,https://example.com/delhi_strikers_instagram_105,2026-01-11 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,reel,English,251861,10285,600,1238
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_109,https://example.com/mumbai_falcons_instagram_109,2026-01-12 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,reel,English,143525,5510,270,344
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_110,https://example.com/mumbai_falcons_youtube_110,2026-01-12 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,video,English,184432,5197,287,401
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_111,https://example.com/delhi_strikers_instagram_111,2026-01-12 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,reel,Hindi,1438270,64396,3627,3102
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_112,https://example.com/delhi_strikers_youtube_112,2026-01-14 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,video,English,101161,4178,171,126
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_115,https://example.com/delhi_strikers_instagram_115,2026-01-15 21:00:00,Matchday moments presented by Dream11. #Cricket #Dream11,reel,English,251572,6860,532,1032
